Surname,First name,Institution,Department,Email address,State,Started on,Completed,Time taken,Grade/36.00,Response 1,Response 3,Response 4,Response 5,Response 6,Response 7,Response 8,Response 9,Response 10
phm18,i01,,,pmh18i01@domain.com,Finished,12/5/18 14:54,12/5/18 15:25,31 mins 1 sec,6,Team,42,Hopper,part 1: -138; part 2: 77; part 3: 90,20.6583,-,-,-,-
phm18,i02,,,pmh18i02@domain.com,Finished,12/5/18 14:53,12/5/18 15:24,31 mins 3 secs,10,Individual,42,Hopper,part 1: -138; part 2: 77; part 3: 90,21.0658,215.6,-,-,-
phm18,i04,,,pmh18i04@domain.com,Finished,12/5/18 14:55,12/5/18 15:26,31 mins 1 sec,10,Individual,42,Hopper,part 1: -138; part 2: 77; part 3: 90,21.0658,296.6815,-,-,-
phm18,i05,,,pmh18i05@domain.com,Finished,12/5/18 14:54,12/5/18 15:25,31 mins 1 sec,14,Individual,42,Hopper,part 1: -138; part 2: 77; part 3: 90,-,-,-,406,-
phm18,i06,,,pmh18i06@domain.com,Finished,12/5/18 14:45,12/5/18 15:16,31 mins 1 sec,26,Individual,42,Hopper,part 1: -138; part 2: 77; part 3: 90,21.0658,299.4457577,261314,406,1941
phm18,i07,,,pmh18i07@domain.com,Finished,12/5/18 14:48,12/5/18 15:19,31 mins,6,Individual,I am,Hopper,-,21.0658,354.5541,-,-,-
phm18,i16,,,pmh18i16@domain.com,Finished,12/5/18 14:57,12/5/18 15:28,31 mins,7,Individual,42,Hopper,-,21.0658,340.4881,-,-,-
phm18,i18,,,pmh18i18@domain.com,Finished,12/7/18 10:04,12/7/18 10:35,31 mins 9 secs,6,Individual,42,Hopper,part 1: -138; part 2: 77; part 3: 90,-,-,8000,-,-
phm18,i19,,,pmh18i19@domain.com,Finished,12/7/18 9:47,12/7/18 10:23,35 mins 54 secs,0,-,-,-,-,-,-,-,-,-
phm18,i20,,,pmh18i20@domain.com,Finished,12/7/18 13:35,12/7/18 14:06,31 mins 1 sec,22,Team,42,Hopper,part 1: -138; part 2: 77; part 3: 90,-,-,260112,406,1941
phm18,i22,,,pmh18i22@domain.com,In progress,12/5/18 15:04,-,-,-,Individual,42,Hopper,part 1: -138; part 2: 77; part 3: 90,-,-,-,-,-
phm18,i25,,,pmh18i25@domain.com,In progress,12/7/18 14:22,-,-,-,-,-,-,-,-,-,-,406,1941
phm18,i29,,,pmh18i29@domain.com,Finished,12/5/18 10:12,12/5/18 10:38,25 mins 25 secs,36,Individual,42,Hopper,part 1: -138; part 2: 77; part 3: 90,21.0658,362.536,262884,406,1941
phm18,i29,,,pmh18i29@domain.com,Finished,12/5/18 10:40,12/5/18 11:11,31 mins 1 sec,6,Individual,42,Hopper,part 1: -138; part 2: 77; part 3: 90,-,-,-,-,-
phm18,t02,,,pmh18t02@domain.com,In progress,12/7/18 14:24,-,-,-,-,-,-,-,-,-,-,-,-
phm18,t19,,,pmh18t19@domain.com,Finished,12/5/18 14:53,12/5/18 15:17,23 mins 48 secs,14,Team,42,Hopper,part 1: -138; part 2: 77; part 3: 90,0,0,-,406,-
phm18,t20,,,pmh18t20@domain.com,In progress,12/7/18 14:25,-,-,-,-,-,-,-,-,-,-,-,-
phm18,t25,,,pmh18t25@domain.com,Finished,12/5/18 14:53,12/5/18 15:24,31 mins,7,Team,42,Hopper,-,21.0658,-,-,-,-
phm18,t26,,,pmh18t26@domain.com,Finished,12/5/18 14:54,12/5/18 15:24,29 mins 56 secs,15,Team,42,Hopper,part 1: -138; part 2: 77; part 3: 90,21.0658,346.2372,262884,1,-
phm18,t28,,,pmh18t28@domain.com,Finished,12/5/18 14:48,12/5/18 15:19,30 mins 57 secs,15,Team,42,Hopper,-,21.0658,411.4466,-,406,-
phm18,t30,,,pmh18t30@domain.com,Finished,12/5/18 14:55,12/5/18 15:18,22 mins 48 secs,14,Team,42,Hopper,part 1: -138; part 2: 77; part 3: 90,-,-,-,406,-
